Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9996143349678934,0.9995633415256717,0.9996593743562684,0.9993246507481081,0.9993009959710559,0.9993475052926052
2,0.9994466728892846,0.9993857433345308,0.9995015602062935,0.9990288308812783,0.999000120742644,0.9990567170375698
3,0.9992789098481399,0.9992094328532422,0.99934228304271,0.9987657694035096,0.9987331600999364,0.9987975398272693
4,0.9991546803479715,0.9990794875324215,0.999223733363173,0.9985321474358225,0.9984964037650224,0.9985670420136247
5,0.9990380631283369,0.998957862631306,0.999112094322708,0.998312137887052,0.9982736555829597,0.9983497630832743
6,0.9989108945451067,0.9988255598634638,0.998990031954085,0.9980836125952176,0.9980424633016903,0.9981238977044876
7,0.9987345473913797,0.998642561539635,0.9988203035696516,0.9978278924074805,0.9977839371966041,0.9978709767050464
8,0.9985929995584887,0.9984960012017227,0.9986837462622397,0.9976347959015637,0.9975888263933711,0.997679890011396
9,0.998481415665512,0.998380635807427,0.9985759280423316,0.9974664719570117,0.9974188078484603,0.9975132570012022
10,0.9983712405567515,0.9982668571745491,0.9984693419781947,0.9973150578391742,0.997265913855254,0.9973633196500457
11,0.9982829082111074,0.9981757203618494,0.9983838032030572,0.9971670238878765,0.9971164706244993,0.9972166921025276
12,0.9981858969899909,0.9980757086597237,0.9982897811484379,0.9970214747121592,0.9969695695416273,0.997072492157549
13,0.9980972414914842,0.9979843787768683,0.9982037902587951,0.9968673268070659,0.996814023853338,0.9969197393546028
14,0.9979828317135887,0.99786660667715,0.9980927309844683,0.9966804961543075,0.9966255431410632,0.9967345557248614
15,0.997900729248412,0.9977821482733095,0.9980129764176366,0.9965463731822328,0.9964902628015575,0.9966015880533252
16,0.9978064547479856,0.9976852213664662,0.9979213453125707,0.9964267395542034,0.9963696132784164,0.9964829685017734
